Assignment Name,Due Date,Summary
Week 5 Reading Quiz,2023-05-07 23:59,
Debating Truth,2023-05-07 23:59,
Reflection 5,2023-05-08 23:59,
Lab 5 Submit,2023-05-08 23:59,
Activity Report 5,2023-05-08 23:59,
Sprint Review 2,2023-05-12 18:00,
AttLab6,2023-05-12 23:59,
Week 6 Discussion Board,2023-05-14 12:00,
"Journal Entry #3 - \""Community, relationships\"" (due end of week 6)",2023-05-14 23:59,
Eval2,2023-05-15 23:59,Self and Team eval after Sprint #4
Homework 4,2023-05-16 23:59,
AttLab7,2023-05-19 23:59,
Week 7 Discussion Board,2023-05-21 12:00,
Self-care Reflection,2023-05-22 10:00,
AttLab8,2023-05-26 23:59,
Week 8 Discussion Board,2023-05-28 12:00,
Term-Long Project: Summary,2023-05-28 23:59,
"Journal Entry #4 - \""Systems, inequality, equity\"" (due end of week 8)",2023-05-28 23:59,
AttLab9,2023-06-02 23:59,
Review3,2023-06-02 23:59,
Week 9 Discussion Board,2023-06-04 12:00,
Letter of Advice to Yourself,2023-06-05 10:00,
Eval3,2023-06-05 23:59,Self and Team eval after Sprint#5
Final Pres,2023-06-09 23:59,"Grade for final presentation video and project documentation. You do not need to submit anything here, submit your videos in the discussion board and your documentation will be graded out of gitlab."
Week 10 Discussion Board,2023-06-09 23:59,
Final Evaluation Meeting Template,2023-06-09 23:59,
Term-Long Final Reflection,2023-06-11 23:59,
Final paper,2023-06-13 23:59,
